"","to","from","movers","date","fr_pat","to_pat","fr_users","to_users"
"263","51003","51005",73,2019-01-01,3,2,24296,153975
"264","51003","51149",0,2019-01-01,72,2,63575,153975
"265","51003","51775",78,2019-01-01,127,2,43358,153975
"266","51003","51770",177,2019-01-01,126,2,158696,153975
"267","51005","51510",26,2019-01-01,96,3,213087,21032
"268","51005","51069",0,2019-01-01,34,3,137274,21032
"269","51005","51730",0,2019-01-01,121,3,49745,21032
"270","51005","51179",144,2019-01-01,86,3,227335,21032
"271","51005","51700",0,2019-01-01,118,3,300145,21032
"272","51005","51159",0,2019-01-01,76,3,14532,21032
"273","51005","51193",0,2019-01-01,92,3,28073,21032
"274","51005","51620",0,2019-01-01,107,3,12464,21032
"275","51005","51169",0,2019-01-01,81,3,28701,21032
"276","51005","51071",0,2019-01-01,35,3,27875,21032
"277","51005","51157",0,2019-01-01,75,3,9162,21032
"278","51005","51019",27,2019-01-01,10,3,135376,21032
"279","51005","51025",0,2019-01-01,13,3,25288,21032
"280","51005","51610",0,2019-01-01,106,3,18212,21032
"281","51005","51111",0,2019-01-01,55,3,20351,21032
"282","51005","51139",0,2019-01-01,67,3,40673,21032
"283","51005","51175",0,2019-01-01,84,3,31773,21032
"284","51005","51161",99,2019-01-01,77,3,173951,21032
"285","51005","51530",17,2019-01-01,98,3,10410,21032
"286","51005","51109",0,2019-01-01,54,3,55210,21032
"287","51005","51001",0,2019-01-01,1,3,46982,21032
"288","51005","51073",0,2019-01-01,36,3,62095,21032
"289","51005","51141",0,2019-01-01,68,3,29110,21032
"290","51005","51127",0,2019-01-01,62,3,35250,21032
"291","51005","51790",16,2019-01-01,128,3,38974,21032
"292","51005","51550",16,2019-01-01,100,3,404560,21032
"293","51005","51023",677,2019-01-01,12,3,58981,21032
"294","51005","51183",0,2019-01-01,88,3,17885,21032
"295","51005","51710",20,2019-01-01,119,3,408163,21032
"296","51005","51007",0,2019-01-01,4,3,22500,21032
"297","51005","51660",47,2019-01-01,111,3,84786,21032
"298","51005","51830",0,2019-01-01,132,3,21163,21032
"299","51005","51690",0,2019-01-01,117,3,22276,21032
"300","51005","51650",38,2019-01-01,110,3,224693,21032
"301","51005","51143",0,2019-01-01,69,3,117603,21032
"302","51005","51630",0,2019-01-01,108,3,44534,21032
"303","51005","51800",0,2019-01-01,129,3,150156,21032
"304","51005","51570",0,2019-01-01,101,3,33302,21032
"305","51005","51181",0,2019-01-01,87,3,11331,21032
"306","51005","51051",0,2019-01-01,26,3,24349,21032
"307","51005","51720",0,2019-01-01,120,3,6050,21032
"308","51005","51163",147,2019-01-01,78,3,35665,21032
"309","51005","51119",0,2019-01-01,59,3,16430,21032
"310","51005","51670",0,2019-01-01,112,3,38762,21032
"311","51005","51077",0,2019-01-01,38,3,22261,21032
"312","51005","51075",0,2019-01-01,37,3,36004,21032
"313","51005","51520",0,2019-01-01,97,3,25038,21032
"314","51005","51810",33,2019-01-01,130,3,784792,21032
"315","51005","51640",0,2019-01-01,109,3,7278,21032
"316","51005","51580",1428,2019-01-01,102,3,8712,21032
"317","51005","51740",0,2019-01-01,123,3,161186,21032
"318","51005","51027",0,2019-01-01,14,3,34563,21032
"319","51005","51167",0,2019-01-01,80,3,46676,21032
"320","51005","51165",60,2019-01-01,79,3,130193,21032
"321","51005","51775",65,2019-01-01,127,3,43358,21032
"322","51005","51678",0,2019-01-01,113,3,11226,21032
"323","51005","51035",20,2019-01-01,18,3,45489,21032
"324","51005","51147",0,2019-01-01,71,3,39815,21032
"325","51005","51145",54,2019-01-01,70,3,49855,21032
"326","51005","51820",51,2019-01-01,131,3,34029,21032
"327","51005","51590",39,2019-01-01,103,3,68488,21032
"328","51005","51059",128,2019-01-01,29,3,1763382,21032
"329","51005","51171",14,2019-01-01,82,3,70180,21032
"330","51005","51125",19,2019-01-01,61,3,22989,21032
"331","51005","51029",0,2019-01-01,15,3,28349,21032
"332","51005","51101",0,2019-01-01,50,3,28523,21032
"333","51005","51197",18,2019-01-01,94,3,47549,21032
"334","51005","51195",0,2019-01-01,93,3,65949,21032
"335","51005","51009",0,2019-01-01,5,3,58598,21032
"336","51005","51149",0,2019-01-01,72,3,63575,21032
"337","51005","51760",65,2019-01-01,125,3,354947,21032
"338","51005","51103",0,2019-01-01,51,3,14049,21032
"339","51005","51595",0,2019-01-01,104,3,7929,21032
"340","51005","51061",0,2019-01-01,30,3,107514,21032
"341","51005","51173",0,2019-01-01,83,3,50469,21032
"342","51005","51017",322,2019-01-01,9,3,6549,21032
"343","51005","51031",14,2019-01-01,16,3,101999,21032
"344","51005","51199",28,2019-01-01,95,3,111883,21032
"345","51005","51735",0,2019-01-01,122,3,20849,21032
"346","51005","51013",0,2019-01-01,7,3,302943,21032
"347","51005","51011",0,2019-01-01,6,3,29404,21032
"348","51005","51840",0,2019-01-01,133,3,41272,21032
"349","51005","51770",138,2019-01-01,126,3,158696,21032
"350","51005","51105",0,2019-01-01,52,3,35683,21032
"351","51005","51600",0,2019-01-01,105,3,33021,21032
"352","51005","51063",51,2019-01-01,31,3,27190,21032
"353","51005","51131",0,2019-01-01,63,3,16552,21032
"354","51005","51047",0,2019-01-01,24,3,78830,21032
"355","51005","51033",0,2019-01-01,17,3,50376,21032
"356","51005","51113",0,2019-01-01,56,3,21001,21032
"357","51005","51043",0,2019-01-01,22,3,22764,21032
"358","51005","51121",99,2019-01-01,60,3,161239,21032
"359","51005","51057",19,2019-01-01,28,3,19001,21032
"360","51005","51085",37,2019-01-01,42,3,185889,21032
"361","51005","51155",0,2019-01-01,74,3,57623,21032
"362","51005","51107",43,2019-01-01,53,3,580113,21032
"363","51005","51177",0,2019-01-01,85,3,221513,21032
"364","51005","51021",0,2019-01-01,11,3,9754,21032
"365","51005","51133",0,2019-01-01,64,3,17739,21032
"366","51005","51049",0,2019-01-01,25,3,15453,21032
"367","51005","51089",16,2019-01-01,44,3,92093,21032
"368","51005","51087",17,2019-01-01,43,3,558046,21032
"369","51005","51045",40,2019-01-01,23,3,8129,21032
"370","51005","51187",0,2019-01-01,90,3,64982,21032
"371","51005","51015",95,2019-01-01,8,3,128468,21032
"372","51005","51750",29,2019-01-01,124,3,32409,21032
"373","51005","51053",0,2019-01-01,27,3,50342,21032
"374","51005","51097",0,2019-01-01,48,3,11873,21032
"375","51005","51067",50,2019-01-01,33,3,96126,21032
"376","51005","51036",0,2019-01-01,19,3,10204,21032
"377","51005","51135",0,2019-01-01,65,3,24627,21032
"378","51005","51091",0,2019-01-01,45,3,2025,21032
"379","51005","51540",25,2019-01-01,99,3,68209,21032
"380","51005","51005",16583,2019-01-01,3,3,24296,21032
"381","51005","51003",20,2019-01-01,2,3,156239,21032
"382","51005","51115",0,2019-01-01,57,3,13186,21032
"383","51005","51099",0,2019-01-01,49,3,40754,21032
"384","51005","51185",0,2019-01-01,89,3,66906,21032
"385","51005","51137",0,2019-01-01,66,3,56203,21032
"386","51005","51041",85,2019-01-01,21,3,584264,21032
"387","51005","51079",0,2019-01-01,39,3,30089,21032
"388","51005","51037",21,2019-01-01,20,3,21475,21032
"389","51005","51683",0,2019-01-01,115,3,66164,21032
"390","51005","51093",0,2019-01-01,46,3,60681,21032
"391","51005","51153",16,2019-01-01,73,3,727098,21032
"392","51005","51065",16,2019-01-01,32,3,41315,21032
"393","51005","51083",0,2019-01-01,41,3,58170,21032
"394","51005","51191",0,2019-01-01,91,3,87011,21032
"395","51005","51117",0,2019-01-01,58,3,48003,21032
"396","51005","51081",0,2019-01-01,40,3,18707,21032
"397","51005","51095",0,2019-01-01,47,3,109104,21032
"398","51005","51680",0,2019-01-01,114,3,117483,21032
"399","51005","51685",0,2019-01-01,116,3,29141,21032
"400","51007","51790",0,2019-01-01,128,4,38974,18614
"401","51007","51017",0,2019-01-01,9,4,6549,18614
"402","51007","51049",24,2019-01-01,25,4,15453,18614
"403","51007","51157",0,2019-01-01,75,4,9162,18614
"404","51007","51173",0,2019-01-01,83,4,50469,18614
"405","51007","51143",0,2019-01-01,69,4,117603,18614
"406","51007","51015",0,2019-01-01,8,4,128468,18614
"407","51007","51029",0,2019-01-01,15,4,28349,18614
"408","51007","51109",46,2019-01-01,54,4,55210,18614
"409","51007","51760",217,2019-01-01,125,4,354947,18614
"410","51007","51133",0,2019-01-01,64,4,17739,18614
"411","51007","51630",18,2019-01-01,108,4,44534,18614
